iter	Passed	Remaining
0	139	139296
1	140	69888
2	140	46802
3	141	35195
4	141	28254
5	142	23640
6	143	20316
7	143	17840
8	144	15917
9	145	14370
10	145	13116
11	146	12062
12	147	11162
13	147	10402
14	148	9744
15	148	9162
16	149	8649
17	150	8189
18	150	7777
19	151	7415
20	151	7085
21	152	6787
22	153	6517
23	155	6333
24	156	6098
25	157	5882
26	157	5684
27	158	5496
28	159	5326
29	159	5164
30	160	5011
31	160	4870
32	161	4735
33	162	4609
34	162	4488
35	163	4373
36	163	4264
37	164	4164
38	165	4067
39	165	3978
40	166	3892
41	167	3810
42	167	3731
43	168	3655
44	168	3583
45	169	3513
46	169	3444
47	170	3380
48	170	3317
49	171	3260
50	172	3204
51	172	3153
52	173	3100
53	174	3050
54	174	3003
55	175	2956
56	176	2912
57	176	2869
58	177	2826
59	177	2785
60	178	2747
61	179	2708
62	179	2674
63	180	2639
64	181	2606
65	181	2572
66	182	2540
67	182	2506
68	183	2476
69	184	2445
70	184	2418
71	185	2390
72	186	2365
73	186	2339
74	187	2312
75	188	2287
76	188	2262
77	189	2237
78	189	2213
79	190	2190
80	191	2168
81	191	2147
82	192	2125
83	193	2104
84	193	2081
85	193	2060
86	194	2038
87	194	2019
88	195	1999
89	195	1980
90	196	1961
91	196	1943
92	197	1927
93	198	1912
94	199	1897
95	199	1881
96	200	1865
97	201	1851
98	201	1835
99	202	1820
100	202	1806
101	203	1790
102	203	1776
103	204	1763
104	205	1750
105	206	1737
106	206	1723
107	207	1710
108	207	1697
109	208	1684
110	209	1673
111	209	1661
112	210	1649
113	210	1639
114	211	1630
115	212	1618
116	213	1608
117	213	1598
118	214	1586
119	214	1575
120	215	1565
121	216	1555
122	216	1543
123	217	1534
124	218	1526
125	218	1516
126	219	1508
127	220	1499
128	220	1490
129	221	1483
130	222	1474
131	223	1466
132	223	1458
133	224	1450
134	225	1443
135	226	1436
136	226	1429
137	227	1420
138	227	1412
139	228	1403
140	229	1396
141	229	1388
142	230	1380
143	231	1373
144	231	1365
145	232	1358
146	232	1351
147	233	1343
148	234	1336
149	234	1330
150	235	1323
151	236	1316
152	236	1310
153	237	1303
154	238	1299
155	239	1295
156	240	1289
157	240	1283
158	241	1277
159	242	1272
160	243	1266
161	243	1261
162	244	1255
163	245	1250
164	245	1244
165	246	1238
166	247	1232
167	247	1226
168	248	1220
169	248	1213
170	249	1208
171	249	1202
172	250	1196
173	250	1190
174	251	1184
175	251	1179
